Fecha,Día,Local,Resultado,Visitante,Año,Tipo de Torneo,Estadio
Fecha 15,,Medellín,0  -  0,Boyacá Chicó,2010,Apertura,Atanasio Girardot
Fecha 15,,Huila,3  -  2,Once Caldas,2010,Apertura,Guillermo Plazas Alcid
Fecha 15,,Cortuluá,0  -  1,Quindío,2010,Apertura,Doce de Octubre
Fecha 15,,Pereira,1  -  1,Millonarios,2010,Apertura,Hernán Ramírez Villegas
Fecha 15,,La Equidad,4  -  3,Tolima,2010,Apertura,Alfonso López Pumarejo[36]​
Fecha 15,,América de Cali,2  -  2,Junior,2010,Apertura,Pascual Guerrero
Fecha 16,,Medellín,1  -  0,Tolima,2010,Finalización,Atanasio Girardot
Fecha 16,,Pereira,0  -  0,Atlético Nacional,2010,Finalización,Centenario (Armenia)[31]​
Fecha 16,,La Equidad,2  -  0,Millonarios,2010,Finalización,Metropolitano de Techo
Fecha 16,,Huila,4  -  0,Boyacá Chicó,2010,Finalización,Guillermo Plazas Alcid
Fecha 16,,América de Cali,0  -  0,Cúcuta,2010,Finalización,Alfonso López (Cartago)[31]​
Fecha 16,,Envigado,2  -  2,Deportivo Cali,2010,Finalización,Polideportivo Sur
Fecha 16,,Cartagena,1  -  1,Quindío,2010,Finalización,Diego de Carvajal(Magangué)[31]​
Fecha 16,,Cortuluá,2  -  0,Junior,2010,Finalización,Doce de Octubre
Fecha 16,,Santa Fe,1  -  1,Once Caldas,2010,Finalización,El Campín
Fecha 16,,Quindío,0  -  0,Cartagena,2010,Apertura,Centenario
Fecha 16,,Tolima,1  -  1,Medellín,2010,Apertura,Manuel Murillo Toro
Fecha 16,,Atlético Nacional,3  -  2,Pereira,2010,Apertura,Atanasio Girardot
Fecha 16,,Junior,3  -  2,Cortuluá,2010,Apertura,Metropolitano Roberto Meléndez
Fecha 16,,Millonarios,1  -  1,La Equidad,2010,Apertura,El Campín
Fecha 16,,Deportivo Cali,1  -  0,Envigado,2010,Apertura,Estadio Deportivo Cali[38]​
Fecha 16,,Cúcuta,3  -  0,América de Cali,2010,Apertura,General Santander
Fecha 16,,Boyacá Chicó,1  -  1,Huila,2010,Apertura,De La Independencia
Fecha 16,,Once Caldas,1  -  2,Santa Fe,2010,Apertura,Palogrande
Fecha 17,,Boyacá Chicó,2  -  0,Santa Fe,2010,Finalización,De La Independencia
Fecha 17,,Once Caldas,3  -  1,América de Cali,2010,Finalización,Palogrande
Fecha 17,,Millonarios,2  -  2,Tolima,2010,Finalización,El Campín
Fecha 17,,Deportivo Cali,1  -  1,Pereira,2010,Finalización,Estadio Deportivo Cali
Fecha 17,,Huila,1  -  1,Independiente Medellín,2010,Finalización,Guillermo Plazas Alcid
Fecha 17,,Cúcuta,3  -  0,Cortuluá,2010,Finalización,General Santander
Fecha 17,,Junior,1  -  1,Cartagena,2010,Finalización,Metropolitano Roberto Meléndez
Fecha 17,,Quindío,3  -  2,Envigado,2010,Finalización,Centenario
Fecha 17,,Atlético Nacional,3  -  1,La Equidad,2010,Finalización,Atanasio Girardot
Fecha 17,,Envigado,2  -  0,Quindío,2010,Apertura,Polideportivo Sur
Fecha 17,,Pereira,1  -  3,Deportivo Cali,2010,Apertura,Hernán Ramírez Villegas
Fecha 17,,La Equidad,2  -  1,Atlético Nacional,2010,Apertura,El Campín[39]​
Fecha 17,,Cortuluá,0  -  0,Cúcuta,2010,Apertura,Doce de Octubre
Fecha 17,,Medellín,3  -  2,Huila,2010,Apertura,Atanasio Girardot
Fecha 17,,Cartagena,1  -  0,Junior,2010,Apertura,Jaime Morón León
Fecha 17,,América de Cali,2  -  1,Once Caldas,2010,Apertura,Hernando Azcárate Martínez[40]​
Fecha 17,,Tolima,2  -  1,Millonarios,2010,Apertura,Manuel Murillo Toro
Fecha 17,,Santa Fe,2  -  3,Boyacá Chicó,2010,Apertura,El Campín
Fecha 18,,Pereira,0  -  0,Quindío,2010,Finalización,Alfonso López (Cartago)
Fecha 18,,Santa Fe,3  -  0,Huila,2010,Finalización,El Campín
Fecha 18,,La Equidad,0  -  3,Deportivo Cali,2010,Finalización,Metropolitano de Techo
Fecha 18,,Tolima,3  -  0,Atlético Nacional,2010,Finalización,Manuel Murillo Toro
Fecha 18,,Cartagena,0  -  2,Cúcuta,2010,Finalización,Diego de Carvajal (Magangué)
Fecha 18,,Medellín,3  -  2,Millonarios,2010,Finalización,Atanasio Girardot
Fecha 18,,Envigado,2  -  2,Junior,2010,Finalización,Polideportivo Sur
Fecha 18,,Cortuluá,0  -  3,Once Caldas,2010,Finalización,Doce de Octubre
Fecha 18,,América de Cali,4  -  0,Boyacá Chicó,2010,Finalización,Alfonso López (Cartago)
Fecha 18,,Quindío,1  -  0,Pereira,2010,Apertura,Centenario
Fecha 18,,Atlético Nacional,1  -  0,Tolima,2010,Apertura,Atanasio Girardot
Fecha 18,,Millonarios,3  -  1,Medellín,2010,Apertura,El Campín
Fecha 18,,Deportivo Cali,0  -  0,La Equidad,2010,Apertura,Estadio Deportivo Cali[38]​
Fecha 18,,Junior,2  -  0,Envigado,2010,Apertura,Metropolitano Roberto Meléndez
Fecha 18,,Huila,3  -  0,Santa Fe,2010,Apertura,Guillermo Plazas Alcid
Fecha 18,,Cúcuta,2  -  0,Cartagena,2010,Apertura,General Santander
Fecha 18,,Once Caldas,2  -  1,Cortuluá,2010,Apertura,Palogrande
Fecha 18,,Boyacá Chicó,1  -  0,América de Cali,2010,Apertura,De La Independencia
Fecha 2,,Millonarios,1  -  0,Deportivo Cali,2010,Finalización,El Campín
Fecha 2,,Envigado F. C.,1  -  2,Once Caldas,2010,Finalización,Polideportivo Sur
Fecha 2,,La Equidad,1  -  0,Junior,2010,Finalización,Metropolitano de Techo
Fecha 2,,Deportes Tolima,2  -  0,Deportes Quindío,2010,Finalización,Manuel Murillo Toro
Fecha 2,,Deportivo Pereira,1  -  2,Cúcuta Deportivo,2010,Finalización,Alfonso López (Cartago)
Fecha 2,,Cortuluá,1  -  1,Atlético Huila,2010,Finalización,Doce de Octubre
Fecha 2,,Real Cartagena,0  -  0,Boyacá Chicó,2010,Finalización,Jaime Morón León
Fecha 2,,América de Cali,1  -  2,Santa Fe,2010,Finalización,Luis A. Duque Peña(Girardot)[27]​
Fecha 2,,Independiente Medellín,1  -  2,Atlético Nacional,2010,Finalización,Atanasio Girardot
Fecha 2,,Once Caldas,3  -  1,Envigado,2010,Apertura,Palogrande
Fecha 2,,Deportivo Cali,4  -  1,Millonarios,2010,Apertura,Pascual Guerrero
Fecha 2,,Cúcuta,0  -  2,Pereira,2010,Apertura,General Santander
Fecha 2,,Atlético Nacional,1  -  2,Medellín,2010,Apertura,Atanasio Girardot
Fecha 2,,Quindío,0  -  3,Tolima,2010,Apertura,Centenario
Fecha 2,,Junior,2  -  0,La Equidad,2010,Apertura,Metropolitano Roberto Meléndez
Fecha 2,,Boyacá Chicó,0  -  2,Cartagena,2010,Apertura,De La Independencia
Fecha 2,,Huila,1  -  1,Cortuluá,2010,Apertura,Guillermo Plazas Alcid
Fecha 2,,Santa Fe,2  -  0,América de Cali,2010,Apertura,El Campín
Fecha 3,,Deportivo Cali,3  -  1,Atlético Nacional,2010,Finalización,Estadio Deportivo Cali
Fecha 3,,Santa Fe,3  -  0,Cortuluá,2010,Finalización,El Campín
Fecha 3,,Independiente Medellín,1  -  0,América de Cali,2010,Finalización,Atanasio Girardot[28]​
Fecha 3,,Junior,1  -  1,Deportes Tolima,2010,Finalización,Romelio Martínez(Barranquilla)
Fecha 3,,Huila,2  -  1,Real Cartagena,2010,Finalización,Guillermo Plazas Alcid
Fecha 3,,Boyacá Chicó,2  -  1,Envigado F. C.,2010,Finalización,De La Independencia
Fecha 3,,Deportes Quindío,3  -  2,Millonarios,2010,Finalización,Alfonso López (Cartago)
Fecha 3,,Cúcuta Deportivo,2  -  0,La Equidad,2010,Finalización,General Santander
Fecha 3,,Once Caldas,1  -  0,Deportivo Pereira,2010,Finalización,Palogrande
Fecha 3,,Millonarios,0  -  0,Quindío,2010,Apertura,El Campín
Fecha 3,,Atlético Nacional,2  -  0,Deportivo Cali,2010,Apertura,Atanasio Girardot
Fecha 3,,Tolima,2  -  2,Junior,2010,Apertura,Manuel Murillo Toro
Fecha 3,,Envigado,1  -  0,Boyacá Chicó,2010,Apertura,Atanasio Girardot
Fecha 3,,Pereira,1  -  1,Once Caldas,2010,Apertura,Hernán Ramírez Villegas
Fecha 3,,Cortuluá,2  -  0,Santa Fe,2010,Apertura,Doce de Octubre
Fecha 3,,Cartagena,2  -  1,Huila,2010,Apertura,Jaime Morón León
Fecha 3,,La Equidad,0  -  0,Cúcuta,2010,Apertura,Metropolitano de Techo
Fecha 3,,América de Cali,1  -  0,Medellín,2010,Apertura,Pascual Guerrero
Fecha 4,,La Equidad,4  -  2,Once Caldas,2010,Finalización,Metropolitano de Techo
Fecha 4,,Deportivo Cali,0  -  0,Independiente Medellín,2010,Finalización,Estadio Deportivo Cali
Fecha 4,,Atlético Nacional,1  -  0,Quindío,2010,Finalización,Atanasio Girardot
Fecha 4,,Cartagena,2  -  2,Santa Fe,2010,Finalización,Jaime Morón León
Fecha 4,,Tolima,1  -  0,Cúcuta,2010,Finalización,Manuel Murillo Toro
Fecha 4,,Pereira,2  -  2,Boyacá Chicó,2010,Finalización,Alfonso López (Cartago)
Fecha 4,,Cortuluá,1  -  2,América de Cali,2010,Finalización,Doce de Octubre
Fecha 4,,Envigado,0  -  1,Huila,2010,Finalización,Polideportivo Sur
Fecha 4,,Millonarios,1  -  1,Junior,2010,Finalización,El Campín
Fecha 4,,Boyacá Chicó,1  -  1,Pereira,2010,Apertura,De La Independencia
Fecha 4,,Junior,2  -  0,Millonarios,2010,Apertura,Metropolitano Roberto Meléndez
Fecha 4,,Quindío,0  -  2,Atlético Nacional,2010,Apertura,Centenario
Fecha 4,,Cúcuta,1  -  0,Tolima,2010,Apertura,General Santander
Fecha 4,,Once Caldas,2  -  3,La Equidad,2010,Apertura,Palogrande
Fecha 4,,Huila,2  -  2,Envigado,2010,Apertura,Guillermo Plazas Alcid
Fecha 4,,Santa Fe,2  -  2,Cartagena,2010,Apertura,El Campín
Fecha 4,,América de Cali,0  -  1,Cortuluá,2010,Apertura,Pascual Guerrero
Fecha 4,,Medellín,2  -  1,Deportivo Cali,2010,Apertura,Atanasio Girardot
Fecha 5,,Santa Fe,1  -  0,Envigado,2010,Finalización,El Campín
Fecha 5,,Cúcuta,2  -  1,Millonarios,2010,Finalización,General Santander
Fecha 5,,Huila,3  -  2,Pereira,2010,Finalización,Guillermo Plazas Alcid
Fecha 5,,Medellín,2  -  1,Cortuluá,2010,Finalización,Atanasio Girardot
Fecha 5,,Boyacá Chicó,0  -  0,La Equidad,2010,Finalización,De La Independencia
Fecha 5,,Once Caldas,1  -  3,Tolima,2010,Finalización,El Verbel
Fecha 5,,América de Cali,0  -  2,Cartagena,2010,Finalización,Doce de Octubre
Fecha 5,,Quindío,2  -  0,Deportivo Cali,2010,Finalización,Alfonso López (Cartago)
Fecha 5,,Junior,4  -  2,Atlético Nacional,2010,Finalización,Metropolitano Roberto Meléndez
Fecha 5,,Atlético Nacional,1  -  0,Junior,2010,Apertura,Atanasio Girardot
Fecha 5,,Millonarios,2  -  0,Cúcuta,2010,Apertura,El Campín
Fecha 5,,Cartagena,1  -  0,América de Cali,2010,Apertura,Jaime Morón León
Fecha 5,,Cortuluá,1  -  2,Medellín,2010,Apertura,Doce de Octubre
Fecha 5,,Pereira,1  -  3,Huila,2010,Apertura,Hernán Ramírez Villegas
Fecha 5,,La Equidad,2  -  1,Boyacá Chicó,2010,Apertura,Metropolitano de Techo
Fecha 5,,Deportivo Cali,2  -  0,Quindío,2010,Apertura,Estadio Deportivo Cali[30]​
Fecha 5,,Envigado,1  -  1,Santa Fe,2010,Apertura,Polideportivo Sur
Fecha 5,,Tolima,1  -  1,Once Caldas,2010,Apertura,Manuel Murillo Toro
Fecha 6,,Quindío,1  -  1,Independiente Medellín,2010,Finalización,Alfonso López (Cartago)
Fecha 6,,Deportivo Cali,2  -  2,Junior,2010,Finalización,Estadio Deportivo Cali
Fecha 6,,Atlético Nacional,1  -  0,Cúcuta,2010,Finalización,Atanasio Girardot
Fecha 6,,Pereira,0  -  1,Santa Fe,2010,Finalización,Alfonso López (Cartago)
Fecha 6,,Tolima,3  -  1,Boyacá Chicó,2010,Finalización,Manuel Murillo Toro
Fecha 6,,La Equidad,4  -  1,Huila,2010,Finalización,Metropolitano de Techo
Fecha 6,,Cartagena,1  -  0,Cortuluá,2010,Finalización,Jaime Morón León
Fecha 6,,Envigado,1  -  3,América de Cali,2010,Finalización,Polideportivo Sur
Fecha 6,,Millonarios,1  -  2,Once Caldas,2010,Finalización,El Campín
Fecha 6,,Cortuluá,1  -  2,Cartagena,2010,Apertura,Doce de Octubre
Fecha 6,,Cúcuta,1  -  1,Atlético Nacional,2010,Apertura,General Santander
Fecha 6,,Medellín,1  -  0,Quindío,2010,Apertura,Atanasio Girardot
Fecha 6,,Junior,3  -  0,Deportivo Cali,2010,Apertura,Metropolitano Roberto Meléndez
Fecha 6,,Boyacá Chicó,1  -  1,Tolima,2010,Apertura,De La Independencia
Fecha 6,,Huila,4  -  1,La Equidad,2010,Apertura,Guillermo Plazas Alcid
Fecha 6,,América de Cali,2  -  2,Envigado,2010,Apertura,Pascual Guerrero
Fecha 6,,Santa Fe,0  -  2,Pereira,2010,Apertura,El Campín
Fecha 6,,Once Caldas,3  -  1,Millonarios,2010,Apertura,Palogrande
Fecha 7,,Huila,3  -  1,Tolima,2010,Finalización,Guillermo Plazas Alcid
Fecha 7,,América de Cali,1  -  1,Pereira,2010,Finalización,Doce de Octubre
Fecha 7,,Once Caldas,2  -  3,Atlético Nacional,2010,Finalización,Metropolitano de Techo
Fecha 7,,Independiente Medellín,1  -  1,Cartagena,2010,Finalización,Atanasio Girardot
Fecha 7,,Santa Fe,0  -  1,La Equidad,2010,Finalización,El Campín
Fecha 7,,Cortuluá,2  -  1,Envigado,2010,Finalización,Doce de Octubre
Fecha 7,,Junior,0  -  2,Quindío,2010,Finalización,Metropolitano Roberto Meléndez
Fecha 7,,Cúcuta,2  -  1,Deportivo Cali,2010,Finalización,General Santander
Fecha 7,,Boyacá Chicó,1  -  1,Millonarios,2010,Finalización,De La Independencia
Fecha 7,,La Equidad,1  -  2,Santa Fe,2010,Apertura,Metropolitano de Techo
Fecha 7,,Atlético Nacional,1  -  2,Once Caldas,2010,Apertura,Ditaires[33]​
Fecha 7,,Cartagena,1  -  1,Medellín,2010,Apertura,Jaime Morón León
Fecha 7,,Envigado,2  -  0,Cortuluá,2010,Apertura,Polideportivo Sur
Fecha 7,,Pereira,1  -  0,América de Cali,2010,Apertura,Hernán Ramírez Villegas
Fecha 7,,Tolima,1  -  0,Huila,2010,Apertura,Manuel Murillo Toro
Fecha 7,,Deportivo Cali,1  -  1,Cúcuta,2010,Apertura,Pascual Guerrero
Fecha 7,,Quindío,1  -  2,Junior,2010,Apertura,Centenario
Fecha 7,,Millonarios,2  -  3,Boyacá Chicó,2010,Apertura,El Campín
Fecha 8,,La Equidad,0  -  2,América de Cali,2010,Finalización,Metropolitano de Techo
Fecha 8,,Tolima,1  -  2,Santa Fe,2010,Finalización,Manuel Murillo Toro
Fecha 8,,Atlético Nacional,2  -  0,Boyacá Chicó,2010,Finalización,Atanasio Girardot
Fecha 8,,Junior,1  -  1,Independiente Medellín,2010,Finalización,Metropolitano Roberto Meléndez
Fecha 8,,Quindío,1  -  0,Cúcuta,2010,Finalización,Centenario
Fecha 8,,Deportivo Cali,5  -  3,Once Caldas,2010,Finalización,Estadio Deportivo Cali
Fecha 8,,Pereira,0  -  0,Cortuluá,2010,Finalización,Alfonso López (Cartago)
Fecha 8,,Envigado,2  -  1,Cartagena,2010,Finalización,Polideportivo Sur
Fecha 8,,Millonarios,1  -  2,Huila,2010,Finalización,Metropolitano de Techo
Fecha 8,,Santa Fe,3  -  2,Tolima,2010,Apertura,El Campín
Fecha 8,,Medellín,1  -  1,Junior,2010,Apertura,Polideportivo Sur
Fecha 8,,Once Caldas,0  -  3,Deportivo Cali,2010,Apertura,Palogrande
Fecha 8,,Boyacá Chicó,3  -  2,Atlético Nacional,2010,Apertura,De La Independencia
Fecha 8,,Cortuluá,1  -  1,Pereira,2010,Apertura,Doce de Octubre
Fecha 8,,Cartagena,1  -  1,Envigado,2010,Apertura,Jaime Morón León
Fecha 8,,Cúcuta,1  -  0,Quindío,2010,Apertura,General Santander
Fecha 8,,América de Cali,3  -  1,La Equidad,2010,Apertura,Pascual Guerrero
Fecha 8,,Huila,1  -  1,Millonarios,2010,Apertura,Guillermo Plazas Alcid
Fecha 9,,Cortuluá,2  -  1,Quindío,2010,Finalización,Doce de Octubre
Fecha 9,,Tolima,3  -  0,Huila,2010,Finalización,Manuel Murillo Toro
Fecha 9,,Millonarios,0  -  0,Santa Fe,2010,Finalización,El Campín
Fecha 9,,Envigado,1  -  1,Cúcuta,2010,Finalización,Polideportivo Sur
Fecha 9,,Cartagena,1  -  1,Junior,2010,Finalización,Jaime Morón León
Fecha 9,,Atlético Nacional,1  -  0,Independiente Medellín,2010,Finalización,Atanasio Girardot
Fecha 9,,Pereira,0  -  0,Once Caldas,2010,Finalización,Alfonso López (Cartago)
Fecha 9,,La Equidad,1  -  1,Boyacá Chicó,2010,Finalización,Metropolitano de Techo
Fecha 9,,América de Cali,1  -  2,Deportivo Cali,2010,Finalización,Doce de Octubre
Fecha 9,,Huila,1  -  3,Tolima,2010,Apertura,Guillermo Plazas Alcid
Fecha 9,,Santa Fe,2  -  1,Millonarios,2010,Apertura,El Campín
Fecha 9,,Junior,0  -  3,Cartagena,2010,Apertura,Metropolitano Roberto Meléndez
Fecha 9,,Once Caldas,5  -  1,Pereira,2010,Apertura,Palogrande
Fecha 9,,Quindío,1  -  2,Cortuluá,2010,Apertura,Centenario
Fecha 9,,Cúcuta,2  -  2,Envigado,2010,Apertura,General Santander
Fecha 9,,Boyacá Chicó,2  -  0,La Equidad,2010,Apertura,De La Independencia
Fecha 9,,Deportivo Cali,1  -  1,América de Cali,2010,Apertura,Pascual Guerrero
Fecha 9,,Medellín,2  -  1,Atlético Nacional,2010,Apertura,Atanasio Girardot
Fecha 1,,Real Cartagena,4 - 2,Junior,2011,Apertura,Diego Carvajal
Fecha 1,,Deportes Tolima,1 - 0,Independiente Santa Fe,2011,Apertura,Manuel Murillo Toro
Fecha 1,,Boyacá Chicó,1 - 1,Once Caldas,2011,Apertura,De La Independencia
Fecha 1,,Millonarios,2 - 3,Atlético Huila,2011,Apertura,El Campín
Fecha 1,,Itagüí Ditaires,2 - 1,Independiente Medellín,2011,Apertura,Ditaires
Fecha 1,,Deportes Quindío,2 - 0,América de Cali,2011,Apertura,Centenario
Fecha 1,,Deportivo Cali,1 - 2,Cúcuta Deportivo,2011,Apertura,Deportivo Cali
Fecha 1,,Atlético Nacional,2 - 3,Envigado F.C.,2011,Apertura,Atanasio Girardot
Fecha 1,,Deportivo Pereira,0 - 1,La Equidad,2011,Apertura,Alfonso López
Fecha 1,,Independiente Medellín,0 : 3,Itagüí,2011,Finalización,Atanasio Girardot
Fecha 1,,Cúcuta Deportivo,0 : 1,Deportivo Cali,2011,Finalización,General Santander
Fecha 1,,Santa Fe,3 : 0,Deportes Tolima,2011,Finalización,Nemesio Camacho El Campín
Fecha 1,,Envigado F. C.,1 : 3,Atlético Nacional,2011,Finalización,Atanasio Girardot
Fecha 1,,Once Caldas,3 : 1,Boyacá Chicó,2011,Finalización,Palogrande
Fecha 1,,Junior,0 : 3,Real Cartagena,2011,Finalización,Metropolitano Roberto Meléndez
Fecha 1,,Atlético Huila,2 : 1,Millonarios,2011,Finalización,Guillermo Plazas Alcid
Fecha 1,,La Equidad,0 : 2,Deportivo Pereira,2011,Finalización,Metropolitano de Techo
Fecha 1,,América de Cali,1 : 0,Deportes Quindío,2011,Finalización,Olímpico Pascual Guerrero
Fecha 10,,At. Nacional,1 - 0,Medellín,2011,Apertura,Atanasio Girardot
Fecha 10,,Equidad,1 - 1,Cúcuta,2011,Apertura,Alfonso López (UN)
Fecha 10,,Real Cartagena,2 - 0,Itagüí,2011,Apertura,Diego Carvajal
Fecha 10,,Pereira,0 - 1,Boyacá Chicó,2011,Apertura,Alfonso López
Fecha 10,,América,2 - 1,At. Huila,2011,Apertura,Francisco Rivera Escobar
Fecha 10,,Envigado,2 - 1,Once Caldas,2011,Apertura,General Santander
Fecha 10,,Tolima,1 - 0,Millonarios,2011,Apertura,Manuel Murillo Toro
Fecha 10,,Quindío,0 - 1,Cali,2011,Apertura,Centenario
Fecha 10,,Santa Fe,2 - 0,Junior,2011,Apertura,Metropolitano de Techo
Fecha 10,,Atlético Huila,1 : 2,América de Cali,2011,Finalización,Guillermo Plazas Alcid
Fecha 10,,Itagüí,3 : 1,Real Cartagena,2011,Finalización,Ditaires
Fecha 10,,Independiente Medellín,0 : 2,Atlético Nacional,2011,Finalización,Atanasio Girardot
Fecha 10,,Once Caldas,3 : 2,Envigado F. C.,2011,Finalización,Palogrande
Fecha 10,,Millonarios,2 : 1,Deportes Tolima,2011,Finalización,Nemesio Camacho El Campín
Fecha 10,,Cúcuta Deportivo,0 : 0,La Equidad,2011,Finalización,General Santander
Fecha 10,,Deportivo Cali,1 : 0,Deportes Quindío,2011,Finalización,Olímpico Pascual Guerrero
Fecha 10,,Boyacá Chicó,1 : 2,Deportivo Pereira,2011,Finalización,La Independencia
Fecha 10,,Junior,3 : 3,Santa Fe,2011,Finalización,Metropolitano Roberto Meléndez
Fecha 11,,Millonarios,5 - 0,Quindío[16]​,2011,Apertura,El Campín
Fecha 11,,Real Cartagena,2 - 1,Tolima,2011,Apertura,Diego Carvajal
Fecha 11,,Boyacá Chicó,2 - 1,At. Nacional,2011,Apertura,De La Independencia
Fecha 11,,Cali,2 - 1,Pereira,2011,Apertura,Deportivo Cali
Fecha 11,,Medellín,1 - 2,Envigado,2011,Apertura,Atanasio Girardot
Fecha 11,,Itagüí,3 - 0,Junior,2011,Apertura,Ditaires
Fecha 11,,At. Huila,2 - 0,Santa Fe,2011,Apertura,Guillermo Plazas Alcid
Fecha 11,,Once Caldas,0 - 1,Equidad,2011,Apertura,Palogrande
Fecha 11,,Cúcuta,0 - 0,América,2011,Apertura,General Santander
Fecha 11,,La Equidad,1 : 1,Once Caldas,2011,Finalización,Metropolitano de Techo
Fecha 11,,Envigado F. C.,1 : 0,Independiente Medellín,2011,Finalización,Polideportivo Sur
Fecha 11,,Deportes Tolima,1 : 0,Real Cartagena,2011,Finalización,Manuel Murillo Toro
Fecha 11,,Deportes Quindío,3 : 0,Millonarios,2011,Finalización,Centenario
Fecha 11,,Santa Fe,1 : 0,Atlético Huila,2011,Finalización,Nemesio Camacho El Campín
Fecha 11,,América de Cali,3 : 0,Cúcuta Deportivo,2011,Finalización,Olímpico Pascual Guerrero
Fecha 11,,Deportivo Pereira,0 : 0,Deportivo Cali,2011,Finalización,Hernán Ramírez Villegas
Fecha 11,,Junior,0 : 0,Itagüí,2011,Finalización,Metropolitano Roberto Meléndez
Fecha 11,,Atlético Nacional,1 : 1,Boyacá Chicó,2011,Finalización,Atanasio Girardot
Fecha 12,,Equidad,5 - 0,Medellín,2011,Apertura,Metropolitano de Techo
Fecha 12,,América,2 - 1,Once Caldas,2011,Apertura,Francisco Rivera Escobar
Fecha 12,,Santa Fe,3 - 1,Cúcuta,2011,Apertura,Metropolitano de Techo
Fecha 12,,At. Nacional,2 - 1,Cali,2011,Apertura,Atanasio Girardot
Fecha 12,,Tolima,0 - 0,Itagüí,2011,Apertura,Manuel Murillo Toro
Fecha 12,,Quindío,2 - 1,Real Cartagena,2011,Apertura,Centenario
Fecha 12,,Pereira,1 - 2,Millonarios,2011,Apertura,Alfonso López
Fecha 12,,Envigado,2 - 1,Boyacá Chicó,2011,Apertura,Polideportivo Sur
Fecha 12,,Junior,3 - 0,At. Huila,2011,Apertura,Metropolitano Roberto Meléndez
Fecha 12,,Cúcuta Deportivo,0 : 1,Santa Fe,2011,Finalización,General Santander
Fecha 12,,Millonarios,0 : 0,Deportivo Pereira,2011,Finalización,Nemesio Camacho El Campín
Fecha 12,,Real Cartagena,3 : 0,Deportes Quindío,2011,Finalización,Olímpico Jaime Morón León
Fecha 12,,Deportivo Cali,2 : 1,Atlético Nacional,2011,Finalización,Olímpico Pascual Guerrero
Fecha 12,,Boyacá Chicó,0 : 0,Envigado F. C.,2011,Finalización,La Independencia
Fecha 12,,Atlético Huila,2 : 3,Junior,2011,Finalización,Guillermo Plazas Alcid
Fecha 12,,Itagüí,2 : 2,Deportes Tolima,2011,Finalización,Ditaires
Fecha 12,,Independiente Medellín,0 : 1,La Equidad,2011,Finalización,Atanasio Girardot
Fecha 12,,Once Caldas,4 : 0,América de Cali,2011,Finalización,Palogrande
Fecha 13,,Medellín,1 - 0,América,2011,Apertura,Atanasio Girardot
Fecha 13,,Cúcuta,0 - 0,Junior,2011,Apertura,General Santander
Fecha 13,,Cali,3 - 2,Envigado,2011,Apertura,Deportivo Cali
Fecha 13,,Millonarios,1 - 2,At. Nacional,2011,Apertura,El Campín
Fecha 13,,Real Cartagena,2 - 2,Pereira,2011,Apertura,Diego Carvajal
Fecha 13,,Itagüí,3 - 3,At. Huila,2011,Apertura,Ditaires
Fecha 13,,Boyacá Chicó,1 - 2,Equidad,2011,Apertura,De La Independencia
Fecha 13,,Tolima,0 - 0,Quindío,2011,Apertura,Manuel Murillo Toro
Fecha 13,,Once Caldas,2 - 2,Santa Fe,2011,Apertura,Palogrande
Fecha 13,,Atlético Huila,1 : 1,Itagüí,2011,Finalización,Guillermo Plazas Alcid
Fecha 13,,Deportes Quindío,2 : 1,Deportes Tolima,2011,Finalización,Centenario
Fecha 13,,Envigado F. C.,1 : 0,Deportivo Cali,2011,Finalización,Polideportivo Sur
Fecha 13,,La Equidad,0 : 1,Boyacá Chicó,2011,Finalización,Metropolitano de Techo
Fecha 13,,América de Cali,1 : 2,Independiente Medellín,2011,Finalización,Olímpico Pascual Guerrero
Fecha 13,,Junior,2 : 2,Cúcuta Deportivo,2011,Finalización,Metropolitano Roberto Meléndez
Fecha 13,,Atlético Nacional,0 : 2,Millonarios,2011,Finalización,Atanasio Girardot
Fecha 13,,Deportivo Pereira,0 : 0,Real Cartagena,2011,Finalización,Hernán Ramírez Villegas
Fecha 13,,Santa Fe,1 : 2,Once Caldas,2011,Finalización,Nemesio Camacho El Campín
Fecha 14,,Pereira,2 - 2,Tolima,2011,Apertura,Alfonso López
Fecha 14,,América,2 - 1,Boyacá Chicó,2011,Apertura,Francisco Rivera Escobar
Fecha 14,,Envigado,2 - 0,Millonarios,2011,Apertura,Polideportivo Sur
Fecha 14,,Equidad,1 - 2,Cali,2011,Apertura,Metropolitano de Techo
Fecha 14,,Junior,1 - 2,Once Caldas,2011,Apertura,Metropolitano Roberto Meléndez
Fecha 14,,Quindío,2 - 1,Itagüí,2011,Apertura,Centenario
Fecha 14,,At. Nacional,0 - 3[17]​,Real Cartagena,2011,Apertura,Polideportivo Sur
Fecha 14,,Santa Fe,1 - 0,Medellín,2011,Apertura,Metropolitano de Techo
Fecha 14,,At. Huila,1 - 1,Cúcuta,2011,Apertura,Guillermo Plazas Alcid
Fecha 14,,Millonarios,1 : 0,Envigado F. C.,2011,Finalización,Nemesio Camacho El Campín
Fecha 14,,Itagüí,1 : 0,Deportes Quindío,2011,Finalización,Ditaires
Fecha 14,,Real Cartagena,0 : 0,Atlético Nacional,2011,Finalización,Olímpico Jaime Morón León
Fecha 14,,Deportes Tolima,1 : 0,Deportivo Pereira,2011,Finalización,Manuel Murillo Toro
